#Feni weather file
$city_name=Feni
$timezone=GMT
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
09:28:11:52:00,42.1,1.02367,608.361,136.475,751.773
09:28:11:53:00,42.1233,1.0243,610.448,219.166,847.293
09:28:11:54:00,42.1733,1.26219,612.768,357.055,963.726
09:28:11:55:00,42.2,1.21792,611.782,236.575,835.293
09:28:11:56:00,42.2,1.53912,605.152,137.147,750.364
09:28:11:57:00,42.21,1.25145,595.213,85.0328,690.943
09:28:11:58:00,42.2883,1.00065,592.427,65.5384,667.766
09:28:11:59:00,42.3,0.550622,596.042,56.084,664.7
09:28:12:00:00,42.3,0.409443,609.205,185.933,816.252
09:28:12:01:00,42.3267,0.247183,624.062,487.646,1108.17
09:28:12:02:00,42.4,1.30876,631.672,583.919,1179.93
09:28:12:03:00,42.4,1.40261,635.176,386.832,1000.57
09:28:12:04:00,42.47,1.85866,634.073,400.771,1024.24
09:28:12:05:00,42.5,1.79027,633.258,582.862,1191.22
09:28:12:06:00,42.5,1.69988,634.2,452.014,1060.41
09:28:12:07:00,42.5,1.71189,622.648,588.118,1178.99
09:28:12:08:00,42.5533,1.93388,613.631,445.458,1046.8
09:28:12:09:00,42.5864,0.928669,610.961,679.52,1259.45
09:28:12:10:00,42.6,0.715191,611.096,717.701,1285.52
09:28:12:11:00,42.6,1.93914,616.612,711.483,1282.88
09:28:12:12:00,42.6,1.41148,615.677,669.537,1231.93
09:28:12:13:00,42.6883,1.01651,608.092,482.848,1054.28
09:28:12:14:00,42.7,1.14307,605.19,312.482,900.412
09:28:12:15:00,42.7,1.67695,609.474,264.353,867.616
09:28:12:16:00,42.71,1.33965,614.248,262.282,874.955
09:28:12:17:00,42.7883,1.98802,612.227,278.492,881.175
09:28:12:18:00,42.8,1.53297,610.522,302.556,914.889
09:28:12:19:00,42.8,1.12739,606.194,433.376,1016.96
09:28:12:20:00,42.8583,0.77292,596.646,325.436,904.122
09:28:12:21:00,42.9,1.27806,590.023,267.124,860.925
09:28:12:22:00,42.9,0.830487,591.154,376.107,963.97
09:28:12:23:00,42.9633,1.49612,597.708,719.437,1286.62
09:28:12:24:00,43,1.80132,598.218,726.135,1266.49
09:28:12:25:00,43,1.13224,596.689,714.624,1264.45
09:28:12:26:00,43.0333,2.15854,590.434,762.511,1295.17
09:28:12:27:00,43.1,2.16217,581.599,759.026,1280.38
09:28:12:28:00,43.1,2.01027,578.714,734.904,1255.65
09:28:12:29:00,43.1267,2.26338,580.83,685.49,1210.09
09:28:12:30:00,43.18,2.22517,575.101,694.916,1220.24
09:28:12:31:00,43.2,1.70011,571.731,639.589,1160.47
09:28:12:32:00,43.2,1.13402,572.944,616.124,1149.09
09:28:12:33:00,43.2,1.61281,570.584,688.103,1209.43
09:28:12:34:00,43.2267,1.39409,570.473,656.041,1174.89
09:28:12:35:00,43.3,1.25761,567.36,639.732,1157.02
09:28:12:36:00,43.3,2.40452,558.993,634.604,1144.66
09:28:12:37:00,43.3,1.5918,544.042,612.611,1110.2
09:28:12:38:00,43.3,2.08421,522.478,625.435,1100.88
09:28:12:39:00,43.3,2.95794,498.281,656.798,1104.01
09:28:12:40:00,43.3,2.69859,479.256,693.373,1111.76
09:28:12:41:00,43.3,2.28638,460.809,687.104,1086.53
09:28:12:42:00,43.3,2.17635,445.271,618.066,968.925
09:28:12:43:00,43.3283,2.18952,444.788,61.8394,511.917
09:28:12:44:00,43.4,2.01476,465.775,39.8743,506.819
09:28:12:45:00,43.4,1.71802,471.895,6.02685,486.943
09:28:12:46:00,43.4,1.85698,469.707,3.77035,481.31
09:28:12:47:00,43.4,2.15137,477.138,2.82776,487.581
09:28:12:48:00,43.4,2.25746,492.815,3.78463,503.956
09:28:12:49:00,43.4,1.71588,509.184,10.5684,529.205
09:28:12:50:00,43.4,1.95927,501.251,134.476,666.429
09:28:12:51:00,43.4,2.27551,442.927,621.994,1019.95
09:28:12:52:00,43.4,2.23288,403.716,719.337,1048.22
09:28:12:53:00,43.4,1.6929,399.672,713.011,1033.77
09:28:12:54:00,43.3533,1.44771,405.613,691.017,1019.5
09:28:12:55:00,43.3433,2.44201,410.444,653.699,992.26
09:28:12:56:00,43.4,2.35774,409.785,605.541,944.611
09:28:12:57:00,43.3367,2.41686,387.614,527.892,854.565
09:28:12:58:00,43.3533,2.42014,371.445,459.426,779.248
09:28:12:59:00,43.3983,1.64502,350.405,149.7,458.632
09:28:13:00:00,43.3283,1.61111,341.453,10.2685,356.227
09:28:13:01:00,43.3133,1.84789,342.827,14.8243,361.836
09:28:13:02:00,43.3933,2.08707,353.894,107.812,476.005
09:28:13:03:00,43.3583,1.839,386.903,179.163,564.988
09:28:13:04:00,43.3283,1.76951,391.014,396.887,743.108
09:28:13:05:00,43.3067,1.32448,388.276,386.161,735.096
09:28:13:06:00,43.3,1.09454,389.228,361.64,711.587
09:28:13:07:00,43.3,1.08322,388.205,280.477,615.749
