# file...... Gen_1_Speed.csv
# date...... Sun May  8 01:55:15 2022
# user...... void
# host...... (null)
# target.... diesel_dg 1833
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech
2019-04-21 00:02:44 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:45 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:46 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:47 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:48 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:49 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:50 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:51 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:52 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:53 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:54 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:55 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:56 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:57 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:58 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:59 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:00 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:01 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:02 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:03 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:04 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:05 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:06 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:03:07 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
